Source,Target,Weight,Type
60,62,1.6136,Undirected
60,2298,1.1926,Undirected
4714,4917,1.2852,Undirected
1237,491,1.0666,Undirected
797,5878,2.7708,Undirected
1200,1237,1.2230,Undirected
803,915,5.7676,Undirected
221,4486,2.4019,Undirected
922,9846,1.0770,Undirected
1007,6223,1.3681,Undirected
1200,7125,1.0199,Undirected
922,1372,6.9468,Undirected
26,55840,1.8277,Undirected
103213,5398,1.0646,Undirected
803,3723,1.0888,Undirected
38,55840,1.6476,Undirected
422,1237,6.4844,Undirected
27,39,2.9895,Undirected
38,491,1.0865,Undirected
422,2345,2.0824,Undirected
2467,18845,1.4276,Undirected
188,696,4.5264,Undirected
821,22760,3.4195,Undirected
3490,3492,1.9531,Undirected
221,3279,1.1114,Undirected
1241,1609,1.0207,Undirected
5709,7125,1.3640,Undirected
7710,18845,4.5381,Undirected
988,1372,3.9500,Undirected
922,2277,1.0139,Undirected
797,922,23.9058,Undirected
797,1439,1.3893,Undirected
2738,14084,1.1403,Undirected
184,208,1.3351,Undirected
1432,9336,1.3134,Undirected
248,1237,2.2391,Undirected
128,2592,1.2733,Undirected
128,15588,1.9391,Undirected
767,797,8.8434,Undirected
803,61251,1.1444,Undirected
48,128,1.0371,Undirected
189,537,1.0879,Undirected
47,7292,1.4117,Undirected
103213,17733,8.7192,Undirected
399,11199,1.0619,Undirected
803,951,1.5016,Undirected
3136,12135,2.5567,Undirected
38,2969,2.9739,Undirected
128,1237,42.8277,Undirected
10679,85718,2.1406,Undirected
184,4486,9.0149,Undirected
922,3398,1.3919,Undirected
933,994,1.7498,Undirected
803,821,4.0152,Undirected
51360,92517,1.7744,Undirected
94,15674,2.0335,Undirected
7725,61835,1.9537,Undirected
797,18845,1.7129,Undirected
1386,3051,1.3995,Undirected
128,1446,2.6290,Undirected
41608,939074,1.1849,Undirected
803,18845,2.2600,Undirected
2509,3723,3.9014,Undirected
724,748,1.6011,Undirected
8,803,4.2598,Undirected
26,951,1.0098,Undirected
128,1372,5.8561,Undirected
146,1290,1.6185,Undirected
6556,56908,2.3766,Undirected
802,4486,3.8459,Undirected
671,2418,7.3176,Undirected
498,491,1.7678,Undirected
696,2592,1.0367,Undirected
188,2418,4.2877,Undirected
94,7709,3.8200,Undirected
128,18845,1.7600,Undirected
48,498,4.4130,Undirected
184,2065,4.4012,Undirected
39,3637,2.2293,Undirected
392,2795,3.9746,Undirected
1008,7709,2.0499,Undirected
8,696,1.9988,Undirected
928,1237,1.2031,Undirected
49,5709,1.3086,Undirected
48,1237,2.4803,Undirected
1446,7870,1.0840,Undirected
1601,2731,1.2638,Undirected
977,7024,1.0431,Undirected
898,5878,1.0612,Undirected
915,1386,1.5500,Undirected
15869,1000,1.4764,Undirected
796,4486,2.5606,Undirected
221,922,16.9937,Undirected
859,1200,2.0068,Undirected
1003,1000,2.5107,Undirected
951,2418,1.5378,Undirected
26,671,11.4108,Undirected
814,7024,2.0742,Undirected
1695,15869,1.3225,Undirected
32,6416,2.4304,Undirected
1335,4974,1.9657,Undirected
523,524,1.2269,Undirected
803,7710,1.7079,Undirected
422,1200,1.1554,Undirected
26,2277,1.3100,Undirected
994,9246,1.3440,Undirected
189,535,1.4587,Undirected
221,767,7.2402,Undirected
1237,1601,1.7742,Undirected
184,1200,1.0642,Undirected
128,5878,1.3051,Undirected
49,1237,1.0286,Undirected
928,994,4.2967,Undirected
922,1003,4.6639,Undirected
498,518,1.7840,Undirected
3773,7888,1.5070,Undirected
392,15918,3.2476,Undirected
797,898,1.0422,Undirected
829,15918,1.3508,Undirected
72,922,1.3961,Undirected
38,45,1.1975,Undirected
422,451,1.5768,Undirected
38,724,5.9525,Undirected
26,221,3.9627,Undirected
498,523,4.2867,Undirected
5878,10422,2.1921,Undirected
161,221,2.4576,Undirected
49837,61251,2.8741,Undirected
47,922,4.7410,Undirected
73,1372,1.9547,Undirected
696,9246,1.0893,Undirected
392,1237,1.6720,Undirected
188,2858,1.3904,Undirected
422,2606,1.0220,Undirected
184,928,2.2213,Undirected
128,859,4.2925,Undirected
922,3392,1.7464,Undirected
2238,2349,1.0337,Undirected
221,806,1.0651,Undirected
49905,25806,3.2904,Undirected
2738,18845,1.7744,Undirected
922,2009,1.3607,Undirected
248,803,1.3175,Undirected
399,767,2.1092,Undirected
4486,5878,1.1181,Undirected
465,1380,1.9806,Undirected
803,1372,3.4089,Undirected
724,801,1.1691,Undirected
184,915,1.3662,Undirected
184,248,1.8097,Undirected
498,7710,2.2782,Undirected
724,797,7.0413,Undirected
696,7024,4.6686,Undirected
813,1696,3.6204,Undirected
184,802,1.2149,Undirected
422,5709,1.2137,Undirected
1707,12908,1.2459,Undirected
928,4032,1.0295,Undirected
1290,5398,1.7708,Undirected
188,1200,1.2947,Undirected
50,4758,4.3569,Undirected
73,1336,4.2813,Undirected
1512,9846,2.5800,Undirected
7709,15674,2.5263,Undirected
39,221,1.7532,Undirected
221,696,1.5761,Undirected
85718,23735,2.2445,Undirected
523,491,1.0632,Undirected
814,6728,1.1211,Undirected
2435,10875,1.3025,Undirected
922,977,2.0472,Undirected
1085,16288,1.1439,Undirected
2238,2524,1.5308,Undirected
803,2418,6.8517,Undirected
153,9846,1.3227,Undirected
523,17733,2.0188,Undirected
60,511,1.3716,Undirected
803,1237,15.8902,Undirected
859,1237,6.2590,Undirected
748,6908,2.6238,Undirected
449,491,1.4498,Undirected
188,928,4.6497,Undirected
168121,44699,2.5547,Undirected
392,922,2.4333,Undirected
1279,17825,1.0079,Undirected
422,181022,1.9922,Undirected
48,23884,1.1271,Undirected
128,3524,1.1392,Undirected
128,5709,2.0968,Undirected
803,885,1.6567,Undirected
48,49,4.5895,Undirected
922,2418,6.3045,Undirected
261,9846,1.1519,Undirected
91380,30883,1.5837,Undirected
221,671,1.3315,Undirected
933,2869,3.9718,Undirected
261,262,1.5442,Undirected
1432,23884,1.1190,Undirected
188,248,1.1803,Undirected
4714,7024,1.2308,Undirected
1200,6223,1.9538,Undirected
803,806,4.0359,Undirected
5625,1000,1.0234,Undirected
236,65733,1.0140,Undirected
45,922,1.3221,Undirected
465,1185,2.0002,Undirected
128,922,49.9813,Undirected
523,7710,3.7573,Undirected
39,922,4.2530,Undirected
136,915,1.2545,Undirected
49,922,2.3076,Undirected
60,2435,1.0359,Undirected
244,803,1.0580,Undirected
928,934,1.0172,Undirected
38,184,1.5115,Undirected
859,7710,1.0229,Undirected
221,260,1.2129,Undirected
859,933,3.1699,Undirected
159,5398,1.7066,Undirected
146,3703,1.9002,Undirected
885,1007,1.0774,Undirected
8,915,1.4345,Undirected
2575,2592,6.3321,Undirected
1241,101626,1.7488,Undirected
523,2375,1.0451,Undirected
2345,4252,1.2806,Undirected
977,1237,5.0587,Undirected
18845,61835,1.0665,Undirected
8,128,1.6375,Undirected
